width,height,min_temp,max_temp,mean_temp,std_temp,file_type,filename
640,480,38.5471305847168,50.22593688964844,40.88978958129883,1.467294454574585,"IMA","1_5_20250917_124642038_VBY_V4.A3_15.IMA"
640,480,39.38347244262695,52.19911193847656,41.74065399169922,1.5377920866012573,"IMA","1_5_20250917_141702038_VBY_V4.A3_15.IMA"
640,480,40.14862060546875,53.88991928100586,42.283897399902344,1.5875587463378906,"IMA","1_5_20250917_165444038_VBY_V4.A3_15.IMA"
640,480,40.01209259033203,53.750083923339844,42.205665588378906,1.5990490913391113,"IMA","1_5_20250917_181724039_VBY_V4.A3_15.IMA"
640,480,38.66614532470703,53.16828536987305,41.31320571899414,1.6882641315460205,"IMA","1_5_20250917_211704031_VBY_V4.A3_15.IMA"
640,480,37.23994445800781,52.79545211791992,40.4844970703125,1.8184378147125244,"IMA","1_5_20250917_231703034_VBY_V4.A3_15.IMA"
640,480,34.84566879272461,51.42709732055664,38.32319259643555,2.1656672954559326,"IMA","1_5_20250918_031655030_VBY_V4.A3_15.IMA"
640,480,33.39731216430664,51.10306930541992,37.315338134765625,2.4226295948028564,"IMA","1_5_20250918_061655013_VBY_V4.A3_15.IMA"
640,480,36.622764587402344,49.520755767822266,39.5476188659668,1.723341464996338,"IMA","1_5_20250918_121057031_VBY_V4.A3_15.IMA"
640,480,37.05299758911133,49.65183639526367,40.00569152832031,1.5906364917755127,"IMA","1_5_20250918_131656028_VBY_V4.A3_15.IMA"
640,480,38.23881912231445,49.80390930175781,40.8021125793457,1.4463199377059937,"IMA","1_5_20250918_141717030_VBY_V4.A3_15.IMA"
640,480,40.07292938232422,53.415340423583984,42.310890197753906,1.5438947677612305,"IMA","1_5_20250918_181738016_VBY_V4.A3_15.IMA"
640,480,38.90028381347656,52.12193298339844,41.41635513305664,1.5364633798599243,"IMA","1_5_20250918_211657014_VBY_V4.A3_15.IMA"
640,480,37.60541534423828,50.94532012939453,40.554141998291016,1.6110553741455078,"IMA","1_5_20250918_231657013_VBY_V4.A3_15.IMA"
640,480,34.64902877807617,48.43086624145508,37.842689514160156,1.9719147682189941,"IMA","1_5_20250919_101658070_VBY_V4.A3_15.IMA"
640,480,37.65339660644531,49.79554748535156,40.304447174072266,1.5715181827545166,"IMA","1_5_20250919_132009069_VBY_V4.A3_15.IMA"
640,480,39.091651916503906,50.94145584106445,41.5439338684082,1.5430678129196167,"IMA","1_5_20250919_143658069_VBY_V4.A3_15.IMA"
640,480,40.29941177368164,54.74018859863281,42.632225036621094,1.665626883506775,"IMA","1_5_20250919_180324067_VBY_V4.A3_15.IMA"
640,480,40.09663391113281,54.33550262451172,42.229557037353516,1.6845554113388062,"IMA","1_5_20250919_211805071_VBY_V4.A3_15.IMA"
640,480,38.24723434448242,54.24795913696289,41.00920867919922,1.8832727670669556,"IMA","1_5_20250920_021736078_VBY_V4.A3_15.IMA"
640,480,37.71259689331055,53.960811614990234,40.542110443115234,1.9403634071350098,"IMA","1_5_20250920_051736078_VBY_V4.A3_15.IMA"
640,480,37.544254302978516,52.11152267456055,40.07313919067383,1.7877999544143677,"IMA","1_5_20250920_091757078_VBY_V4.A3_15.IMA"
640,480,40.017215728759766,51.41413879394531,41.890682220458984,1.3617818355560303,"IMA","1_5_20250920_131736076_VBY_V4.A3_15.IMA"
640,480,41.093414306640625,53.12053680419922,43.09866714477539,1.3800973892211914,"IMA","1_5_20250920_171736078_VBY_V4.A3_15.IMA"
640,480,40.54228973388672,52.00485610961914,42.31505584716797,1.3452033996582031,"IMA","1_5_20250920_211737078_VBY_V4.A3_15.IMA"
